instance_id;value;time
Impartial Culture_0;475.0;0.0
Impartial Culture_1;475.0;0.0
Impartial Culture_2;478.0;0.0
Impartial Culture_3;472.0;0.0
Impartial Culture_4;476.0;0.0
Impartial Culture_5;477.0;0.0
Impartial Culture_6;473.0;0.0
Impartial Culture_7;476.0;0.0
Impartial Culture_8;472.0;0.0
Impartial Culture_9;481.0;0.0
Impartial Culture_10;472.0;0.0
Impartial Culture_11;478.0;0.0
Impartial Culture_12;478.0;0.0
Impartial Culture_13;475.0;0.0
Impartial Culture_14;472.0;0.0
Impartial Culture_15;479.0;0.0
Impartial Culture_16;476.0;0.0
Impartial Culture_17;474.0;0.0
Impartial Culture_18;474.0;0.0
Impartial Culture_19;478.0;0.0
SP by Conitzer_0;70.0;0.0
SP by Conitzer_1;78.0;0.0
SP by Conitzer_2;85.0;0.0
SP by Conitzer_3;85.0;0.0
SP by Conitzer_4;96.0;0.0
SP by Conitzer_5;60.0;0.0
SP by Conitzer_6;81.0;0.0
SP by Conitzer_7;73.0;0.0
SP by Conitzer_8;81.0;0.0
SP by Conitzer_9;85.0;0.0
SP by Conitzer_10;71.0;0.0
SP by Conitzer_11;60.0;0.0
SP by Conitzer_12;73.0;0.0
SP by Conitzer_13;80.0;0.0
SP by Conitzer_14;72.0;0.0
SP by Conitzer_15;70.0;0.0
SP by Conitzer_16;85.0;0.0
SP by Conitzer_17;76.0;0.0
SP by Conitzer_18;82.0;0.0
SP by Conitzer_19;80.0;0.0
SP by Walsh_0;102.0;0.0
SP by Walsh_1;101.0;0.0
SP by Walsh_2;106.0;0.0
SP by Walsh_3;107.0;0.0
SP by Walsh_4;101.0;0.0
SP by Walsh_5;99.0;0.0
SP by Walsh_6;107.0;0.0
SP by Walsh_7;103.0;0.0
SP by Walsh_8;102.0;0.0
SP by Walsh_9;102.0;0.0
SP by Walsh_10;112.0;0.0
SP by Walsh_11;107.0;0.0
SP by Walsh_12;103.0;0.0
SP by Walsh_13;112.0;0.0
SP by Walsh_14;102.0;0.0
SP by Walsh_15;122.0;0.0
SP by Walsh_16;106.0;0.0
SP by Walsh_17;101.0;0.0
SP by Walsh_18;118.0;0.0
SP by Walsh_19;99.0;0.0
SPOC_0;184.0;0.0
SPOC_1;180.0;0.0
SPOC_2;184.0;0.0
SPOC_3;195.0;0.0
SPOC_4;200.0;0.0
SPOC_5;191.0;0.0
SPOC_6;185.0;0.0
SPOC_7;192.0;0.0
SPOC_8;189.0;0.0
SPOC_9;190.0;0.0
SPOC_10;187.0;0.0
SPOC_11;185.0;0.0009992122650146484
SPOC_12;189.0;0.0
SPOC_13;180.0;0.0
SPOC_14;200.0;0.0
SPOC_15;185.0;0.0
SPOC_16;188.0;0.0
SPOC_17;186.0;0.0
SPOC_18;183.0;0.0
SPOC_19;188.0;0.0
Single-Crossing_0;229.0;0.0
Single-Crossing_1;222.0;0.0
Single-Crossing_2;240.0;0.0
Single-Crossing_3;218.0;0.0
Single-Crossing_4;222.0;0.0
Single-Crossing_5;249.0;0.0
Single-Crossing_6;241.0;0.0
Single-Crossing_7;204.0;0.0
Single-Crossing_8;240.0;0.0
Single-Crossing_9;235.0;0.0
Single-Crossing_10;214.0;0.0
Single-Crossing_11;256.0;0.0
Single-Crossing_12;235.0;0.0
Single-Crossing_13;246.0;0.0
Single-Crossing_14;204.0;0.0
Single-Crossing_15;206.0;0.0
Single-Crossing_16;214.0;0.0
Single-Crossing_17;228.0;0.0
Single-Crossing_18;222.0;0.0
Single-Crossing_19;233.0;0.0
1D Interval_0;109.0;0.0
1D Interval_1;133.0;0.0
1D Interval_2;94.0;0.0
1D Interval_3;94.0;0.0
1D Interval_4;100.0;0.0
1D Interval_5;103.0;0.0
1D Interval_6;76.0;0.0
1D Interval_7;141.0;0.0
1D Interval_8;87.0;0.0
1D Interval_9;102.0;0.0
1D Interval_10;95.0;0.0
1D Interval_11;87.0;0.0
1D Interval_12;149.0;0.0
1D Interval_13;87.0;0.0
1D Interval_14;111.0;0.0
1D Interval_15;87.0;0.0
1D Interval_16;115.0;0.0
1D Interval_17;95.0;0.0
1D Interval_18;95.0;0.0
1D Interval_19;101.0;0.0
2D Disc_0;310.0;0.0
2D Disc_1;294.0;0.0
2D Disc_2;293.0;0.0
2D Disc_3;302.0;0.0
2D Disc_4;294.0;0.0
2D Disc_5;293.0;0.0
2D Disc_6;299.0;0.0
2D Disc_7;260.0;0.0
2D Disc_8;294.0;0.0
2D Disc_9;305.0;0.0
2D Disc_10;282.0;0.0
2D Disc_11;287.0;0.0
2D Disc_12;303.0;0.0
2D Disc_13;260.0;0.0
2D Disc_14;290.0;0.0
2D Disc_15;296.0;0.0
2D Disc_16;302.0;0.0
2D Disc_17;313.0;0.0
2D Disc_18;299.0;0.0
2D Disc_19;298.0;0.0
3D Cube_0;366.0;0.0010006427764892578
3D Cube_1;341.0;0.0
3D Cube_2;352.0;0.0
3D Cube_3;363.0;0.0
3D Cube_4;348.0;0.0
3D Cube_5;382.0;0.0
3D Cube_6;335.0;0.0
3D Cube_7;370.0;0.0
3D Cube_8;374.0;0.0
3D Cube_9;344.0;0.0
3D Cube_10;337.0;0.0
3D Cube_11;348.0;0.0
3D Cube_12;371.0;0.0
3D Cube_13;354.0;0.0
3D Cube_14;355.0;0.0
3D Cube_15;361.0;0.0
3D Cube_16;350.0;0.0
3D Cube_17;303.0;0.0
3D Cube_18;334.0;0.0
3D Cube_19;331.0;0.0
2D Sphere_0;181.0;0.0
2D Sphere_1;189.0;0.0
2D Sphere_2;152.0;0.0
2D Sphere_3;144.0;0.0
2D Sphere_4;144.0;0.0
2D Sphere_5;115.0;0.0
2D Sphere_6;117.0;0.0
2D Sphere_7;211.0;0.0
2D Sphere_8;115.0;0.0
2D Sphere_9;134.0;0.0
2D Sphere_10;152.0;0.0
2D Sphere_11;141.0;0.0
2D Sphere_12;155.0;0.0
2D Sphere_13;140.0;0.0
2D Sphere_14;117.0;0.0
2D Sphere_15;212.0;0.0
2D Sphere_16;140.0;0.0
2D Sphere_17;153.0;0.0
2D Sphere_18;141.0;0.0
2D Sphere_19;134.0;0.0
Urn_0;212.0;0.0
Urn_1;498.0;0.0
Urn_2;506.0;0.0
Urn_3;268.0;0.0
Urn_4;463.0;0.0
Urn_5;414.0;0.0
Urn_6;506.0;0.0
Urn_7;492.0;0.0
Urn_8;217.0;0.0
Urn_9;305.0;0.0
Urn_10;506.0;0.0
Urn_11;514.0;0.0
Urn_12;126.0;0.0
Urn_13;459.0;0.0
Urn_14;305.0;0.0
Urn_15;375.0;0.0
Urn_16;409.0;0.0
Urn_17;17.0;0.0
Urn_18;514.0;0.0
Urn_19;455.0;0.0
Urn_20;252.0;0.0
Urn_21;401.0;0.0
Urn_22;262.0;0.0
Urn_23;446.0;0.0
Urn_24;375.0;0.0
Urn_25;164.0;0.0
Urn_26;487.0;0.0
Urn_27;347.0;0.0
Urn_28;263.0;0.0
Urn_29;286.0;0.0
Urn_30;455.0;0.0
Urn_31;465.0;0.0
Urn_32;452.0;0.0
Urn_33;478.0;0.0010035037994384766
Urn_34;247.0;0.0
Urn_35;478.0;0.0
Urn_36;495.0;0.0
Urn_37;467.0;0.0
Urn_38;469.0;0.0
Urn_39;148.0;0.0
Urn_40;282.0;0.0
Urn_41;467.0;0.0
Urn_42;217.0;0.0
Urn_43;317.0;0.0
Urn_44;513.0;0.0
Urn_45;38.0;0.0
Urn_46;340.0;0.0
Urn_47;376.0;0.0
Urn_48;388.0;0.0
Urn_49;509.0;0.0
Urn_50;429.0;0.0
Urn_51;397.0;0.0
Urn_52;452.0;0.0
Urn_53;464.0;0.0
Urn_54;505.0;0.0
Urn_55;282.0;0.0
Urn_56;391.0;0.0
Urn_57;201.0;0.0
Urn_58;444.0;0.0
Urn_59;243.0;0.0
Norm-Mallows_0;245.0;0.0
Norm-Mallows_1;348.0;0.0
Norm-Mallows_2;478.0;0.0
Norm-Mallows_3;7.0;0.0
Norm-Mallows_4;433.0;0.0
Norm-Mallows_5;64.0;0.0
Norm-Mallows_6;425.0;0.0
Norm-Mallows_7;103.0;0.0
Norm-Mallows_8;108.0;0.0
Norm-Mallows_9;395.0;0.0
Norm-Mallows_10;157.0;0.0
Norm-Mallows_11;477.0;0.0
Norm-Mallows_12;472.0;0.0
Norm-Mallows_13;50.0;0.0
Norm-Mallows_14;176.0;0.0
Norm-Mallows_15;426.0;0.0
Norm-Mallows_16;478.0;0.0
Norm-Mallows_17;41.0;0.0
Norm-Mallows_18;73.0;0.0
Norm-Mallows_19;160.0;0.0
Norm-Mallows_20;170.0;0.0
Norm-Mallows_21;47.0;0.0
Norm-Mallows_22;117.0;0.0
Norm-Mallows_23;475.0;0.0
Norm-Mallows_24;345.0;0.0
Norm-Mallows_25;144.0;0.0
Norm-Mallows_26;479.0;0.0
Norm-Mallows_27;478.0;0.0
Norm-Mallows_28;171.0;0.0
Norm-Mallows_29;226.0;0.0
Norm-Mallows_30;55.0;0.0
Norm-Mallows_31;476.0;0.0
Norm-Mallows_32;134.0;0.0
Norm-Mallows_33;382.0;0.0
Norm-Mallows_34;462.0;0.0
Norm-Mallows_35;142.0;0.0
Norm-Mallows_36;469.0;0.0
Norm-Mallows_37;67.0;0.0
Norm-Mallows_38;349.0;0.0
Norm-Mallows_39;472.0;0.0
Norm-Mallows_40;456.0;0.0
Norm-Mallows_41;474.0;0.0
Norm-Mallows_42;429.0;0.0
Norm-Mallows_43;176.0;0.0
Norm-Mallows_44;74.0;0.0
Norm-Mallows_45;7.0;0.0
Norm-Mallows_46;472.0;0.0
Norm-Mallows_47;452.0;0.0
Norm-Mallows_48;322.0;0.0
Norm-Mallows_49;402.0;0.0
Norm-Mallows_50;479.0;0.0
Norm-Mallows_51;456.0;0.0
Norm-Mallows_52;476.0;0.0
Norm-Mallows_53;291.0;0.0009963512420654297
Norm-Mallows_54;472.0;0.0
Norm-Mallows_55;68.0;0.0
Norm-Mallows_56;424.0;0.0
Norm-Mallows_57;74.0;0.0
Norm-Mallows_58;250.0;0.0
Norm-Mallows_59;474.0;0.0
GS Balanced_0;129.0;0.0
GS Balanced_1;151.0;0.0
GS Balanced_2;178.0;0.0
GS Balanced_3;122.0;0.0
GS Balanced_4;175.0;0.0
GS Balanced_5;145.0;0.0
GS Balanced_6;151.0;0.0
GS Balanced_7;129.0;0.0
GS Balanced_8;120.0;0.0
GS Balanced_9;120.0;0.0
GS Balanced_10;133.0;0.0
GS Balanced_11;154.0;0.0
GS Balanced_12;132.0;0.0
GS Balanced_13;143.0;0.0
GS Balanced_14;150.0;0.0
GS Balanced_15;138.0;0.0
GS Balanced_16;141.0;0.0
GS Balanced_17;168.0;0.0
GS Balanced_18;137.0;0.0
GS Balanced_19;133.0;0.0
GS Caterpillar_0;285.0;0.0
GS Caterpillar_1;244.0;0.0
GS Caterpillar_2;264.0;0.0
GS Caterpillar_3;270.0;0.0
GS Caterpillar_4;277.0;0.0
GS Caterpillar_5;244.0;0.0
GS Caterpillar_6;262.0;0.0
GS Caterpillar_7;255.0;0.0
GS Caterpillar_8;285.0;0.0
GS Caterpillar_9;279.0;0.0
GS Caterpillar_10;284.0;0.0
GS Caterpillar_11;288.0;0.0
GS Caterpillar_12;278.0;0.0
GS Caterpillar_13;273.0;0.0
GS Caterpillar_14;278.0;0.0
GS Caterpillar_15;296.0;0.0
GS Caterpillar_16;294.0;0.0
GS Caterpillar_17;264.0;0.0
GS Caterpillar_18;274.0;0.0
GS Caterpillar_19;262.0;0.0
ID;9.0;0.0
AN;294.0;0.0
ST;301.0;0.0
UN;473.0;0.0
